transaction_id,amount,transaction_type,sender_bank,receiver_bank,device_type,hour_of_day,day_of_week,transaction_freq_1hr,location_distance_km,new_device,failed_attempts,account_age_days,pin_changed_recently,is_weekend,timestamp,is_fraud,risk_score,upi_id,source
TXN000001,1260.29,P2P,HDFC,Axis,Android,10,2,5,51.2,0,0,2448,0,0,2024-04-24 10:08:00,0,,,
TXN000002,1336.53,P2M,BOI,PNB,iOS,9,3,4,209.8,0,1,3345,0,0,2024-11-28 09:44:00,0,,,
TXN000003,47861.08,Recharge,HDFC,BOI,Android,11,5,0,179.5,0,1,3335,1,1,2024-02-17 11:24:00,0,,,
TXN000004,41471.94,P2P,Axis,HDFC,iOS,15,3,1,352.3,1,0,3196,0,0,2024-07-04 15:36:00,0,,,
TXN000005,31787.87,Shopping,Axis,ICICI,iOS,11,0,1,335.1,0,0,2525,0,0,2024-07-08 11:22:00,0,,,
TXN000006,49476.27,Bill Payment,BOI,Kotak,Android,15,5,5,162.1,0,0,968,0,1,2024-10-12 15:14:00,0,,,
TXN000007,47146.06,P2M,Kotak,BOI,Web,19,0,5,249.6,0,1,615,0,0,2024-06-10 19:13:00,0,,,
TXN000008,10973.84,Recharge,HDFC,BOI,iOS,23,1,0,377.9,0,0,2600,0,0,2024-09-17 23:31:00,0,,,
TXN000009,23407.81,P2P,Kotak,BOI,Android,10,3,0,340.1,0,1,3178,0,0,2024-10-10 10:55:00,0,,,
TXN000010,47691.26,Shopping,Axis,ICICI,iOS,19,1,1,253.8,0,1,3477,0,0,2024-05-14 19:32:00,0,,,
TXN000011,26973.56,Bill Payment,Axis,SBI,Android,17,5,0,299.5,0,0,1516,0,1,2024-09-28 17:58:00,0,,,
TXN000012,47348.0,Shopping,ICICI,Kotak,Web,7,3,0,489.0,0,0,555,0,0,2024-09-05 07:52:00,0,,,
TXN000013,21162.67,Recharge,Canara,HDFC,Android,9,3,5,344.9,0,1,2781,0,0,2024-10-03 09:48:00,0,,,
TXN000014,16910.9,P2P,PNB,HDFC,Web,15,5,1,3.6,0,0,967,0,1,2024-04-27 15:37:00,0,,,
TXN000015,33452.2,P2P,HDFC,BOI,iOS,9,4,4,288.1,0,1,3337,0,0,2024-03-08 09:46:00,0,,,
TXN000016,23356.56,P2M,Axis,Axis,Web,17,1,5,49.2,0,1,3309,0,0,2024-12-10 17:41:00,0,,,
TXN000017,21099.86,Shopping,SBI,HDFC,Android,10,1,0,221.6,0,0,237,0,0,2024-05-07 10:55:00,0,,,
TXN000018,24287.2,Recharge,Kotak,BOI,Web,9,2,0,82.3,1,1,1116,0,0,2024-07-24 09:57:00,0,,,
TXN000019,49771.18,P2P,Canara,ICICI,Android,14,4,1,148.4,0,0,3093,0,0,2024-09-06 14:09:00,0,,,
TXN000020,4014.77,Shopping,HDFC,BOI,Web,9,3,5,430.9,0,0,2401,0,0,2024-10-31 09:04:00,0,,,
TXN000021,26143.91,Recharge,PNB,HDFC,Android,20,6,5,157.1,0,0,2781,0,1,2024-04-14 20:42:00,0,,,
TXN000022,49922.74,P2M,PNB,Kotak,Android,23,2,1,252.9,0,1,3638,0,0,2024-02-07 23:34:00,0,,,
TXN000023,27165.47,P2P,HDFC,ICICI,iOS,10,5,0,333.9,0,0,3626,0,1,2024-11-30 10:33:00,0,,,
TXN000024,10539.38,Bill Payment,SBI,SBI,iOS,11,1,2,252.7,0,0,408,0,0,2024-12-17 11:40:00,0,,,
TXN000025,31859.3,P2M,SBI,PNB,Web,10,2,5,213.8,1,0,3647,0,0,2024-08-14 10:35:00,0,,,
TXN000026,21495.04,Shopping,BOI,ICICI,Android,4,4,0,449.5,0,0,2761,0,0,2024-07-05 04:57:00,0,,,
TXN000027,48810.54,P2M,Kotak,ICICI,Web,18,1,1,368.3,0,1,3315,0,0,2024-07-30 18:01:00,0,,,
TXN000028,8.73,Bill Payment,PNB,BOI,Web,10,4,5,2150.1,1,4,28,1,0,2024-04-26 10:14:00,1,,,
TXN000029,26815.42,Recharge,PNB,PNB,iOS,20,3,2,89.3,0,1,186,0,0,2024-02-29 20:56:00,0,,,
TXN000030,25576.04,Bill Payment,PNB,HDFC,Web,12,1,2,22.2,0,0,1521,0,0,2024-10-22 12:12:00,0,,,
TXN000031,25361.05,P2M,Kotak,BOI,Web,16,6,5,147.8,0,1,2753,0,1,2024-06-16 16:25:00,0,,,
TXN000032,15200.71,P2M,HDFC,Kotak,Web,9,2,5,161.1,0,0,2123,0,0,2024-10-23 09:38:00,0,,,
TXN000033,30966.85,Recharge,HDFC,Canara,iOS,7,1,2,112.3,0,0,219,0,0,2024-04-30 07:43:00,0,,,
TXN000034,28787.79,P2P,BOI,Axis,Android,16,0,3,122.0,0,0,3105,0,0,2024-07-15 16:31:00,0,,,
TXN000035,34798.63,Shopping,BOI,Canara,Android,13,5,0,228.2,0,1,3123,0,1,2024-10-12 13:15:00,0,,,
TXN000036,23738.98,Recharge,HDFC,Kotak,Android,10,0,5,138.7,0,1,2597,0,0,2024-05-06 10:53:00,0,,,
TXN000037,15992.28,Bill Payment,Canara,BOI,Android,14,0,1,191.5,0,0,293,0,0,2024-03-11 14:09:00,0,,,
